,Safety,Conv,Traffic,Medical,Culture,EMD_CD
274,0.0,0.00042319085907744394,0.0007053180984624065,0.001833827056002257,0.0,11170113
275,0.0,0.0007431260837255387,0.0009908347783007183,0.00024770869457517957,0.0,11170117
276,0.0,0.0004954173891503591,0.0019816695566014365,0.0012385434728758979,0.0,11170118
277,0.00011530035743110804,0.0009224028594488643,0.0012106537530266344,0.0027095583996310387,0.0,11170129
278,7.161528270132846e-05,0.0010384215991692627,0.0012532674472732481,0.0007519604683639488,0.0,11170130
279,0.0,0.00024770869457517957,0.0009908347783007183,0.0,0.0,11170116
280,0.0,0.0003551924699196377,0.0005327887048794565,0.00017759623495981885,0.0,11170109
281,0.0,0.0007103849398392754,0.0017759623495981886,0.0005327887048794565,0.0,11170110
282,0.0,0.001243173644718732,0.0005327887048794565,0.0008879811747990943,0.0,11170111
283,0.0,0.0032808398950131233,0.004593175853018373,0.005249343832020997,0.0,11170124
284,0.0026246719160104987,0.01115485564304462,0.007217847769028871,0.023622047244094488,0.0,11170125
285,0.0,0.010498687664041995,0.015091863517060367,0.011811023622047244,0.0013123359580052493,11170128
286,0.0001266784899923993,0.0029136052698251836,0.0041803901697491765,0.003927033189764378,0.0,11170131
287,0.0,0.0002556672916311573,0.0006817794443497528,0.0005539457985341742,4.261121527185955e-05,11170119
288,9.449562957713205e-05,0.0007087172218284905,0.0008977084809827546,0.0008504606661941885,0.0,11170101
289,1.8322736683951114e-05,0.0006779412573061913,0.0013925279879802848,0.0015574326181358447,1.8322736683951114e-05,11380104
290,0.0,0.0008364351135460667,0.0014219396930283132,0.0012546526703191,0.0,11380105
291,0.00014200511218403862,0.001136040897472309,0.0011833759348669885,0.0015620562340244249,0.0,11380102
292,3.082044011588486e-05,0.0008629723232447759,0.0008629723232447759,0.003205325772052025,3.082044011588486e-05,11380106
293,5.950078838544611e-05,0.0009817630083598608,0.0018445244399488293,0.0032427929670068127,5.950078838544611e-05,11380103
294,0.00011458691417440129,0.00011458691417440129,0.0021771513693136244,0.000802108399220809,0.0,11380101
295,4.942542938341777e-05,0.000840232299518102,0.0012603484492771531,0.0013344865933522798,0.0,11380108
296,1.9564877132571607e-05,0.00044999217404914697,0.0007825950853028644,0.0014673657849428705,0.0,11380107
297,0.0,0.0006276150627615063,0.0007322175732217573,0.0010460251046025104,0.0,11380110
298,0.0010068465565847766,0.006242448650825614,0.013894482480869915,0.011880789367700362,0.0002013693113169553,11380114
299,0.0,0.0009778755653343113,0.003911502261337245,0.0009778755653343113,0.0,11110146
300,0.0,0.016133518781463206,0.04033379695365801,0.05646731573512122,0.0,11110129
301,0.008066759390731603,0.02420027817219481,0.04033379695365801,0.06453407512585282,0.0,11110134
302,0.0,0.0014668133480014668,0.0029336266960029336,0.0014668133480014668,0.0,11110148
303,0.0,0.016133518781463206,0.016133518781463206,0.02420027817219481,0.0,11110127
304,0.0,0.05646731573512122,0.008066759390731603,0.03226703756292641,0.02420027817219481,11110155
305,0.008066759390731603,0.08066759390731602,0.04033379695365801,0.16133518781463205,0.0,11110135
306,0.0,0.03226703756292641,0.008066759390731603,0.016133518781463206,0.0,11110128
307,0.0,0.0003949577066382489,0.0007899154132764979,0.0005924365599573733,0.0,11110176
308,0.00019747885331912446,0.00019747885331912446,0.0011848731199147467,0.001382351973233871,0.0,11110180
309,0.0,0.0019093078758949881,0.017183770883054894,0.00477326968973747,0.0,11110182
310,0.0020341741253051262,0.0,0.0020341741253051262,0.0,0.0,11110103
311,0.0,0.0,0.008066759390731603,0.0,0.0,11110131
312,0.0,0.04840055634438962,0.008066759390731603,0.03226703756292641,0.016133518781463206,11110137
313,0.0,0.00752634219806956,0.0,0.00752634219806956,0.0,11110118
314,0.001505268439613912,0.003010536879227824,0.003010536879227824,0.012042147516911296,0.0,11110114
315,0.0,0.006102522375915378,0.0020341741253051262,0.0,0.0020341741253051262,11110109
316,0.0,0.0040683482506102524,0.006102522375915378,0.0040683482506102524,0.0,11110110
317,0.0,0.006021073758455648,0.0,0.018063221275366945,0.0,11110117
318,0.0,0.001505268439613912,0.0,0.003010536879227824,0.0,11110116
319,0.0,0.0,0.0,0.016133518781463206,0.008066759390731603,11110153
320,0.00028848927784291654,0.002596403500586249,0.0008654678335287497,0.002596403500586249,0.0005769785556858331,11110168
321,0.00034052213390005424,0.0020431328034003255,0.0020431328034003255,0.0020431328034003255,0.0,11110170
322,0.0,0.0010215664017001627,0.001362088535600217,0.002724177071200434,0.00034052213390005424,11110171
323,0.0,0.0017026106695002712,0.0034052213390005424,0.0010215664017001627,0.00034052213390005424,11110173
324,0.0,0.0017026106695002712,0.0006810442678001085,0.00034052213390005424,0.0,11110172
325,0.008066759390731603,0.02420027817219481,0.03226703756292641,0.016133518781463206,0.0,11110151
326,0.0,0.0001256965684836804,0.0002513931369673608,0.000209494280806134,0.0,11110187
327,0.0,0.0026362038670114684,0.005931458700775803,0.0013181019335057342,0.0,11110184
328,0.001505268439613912,0.003010536879227824,0.01505268439613912,0.001505268439613912,0.0,11110115
329,0.0,0.00717213114643871,0.025102459012535484,0.0,0.003586065573219355,11110140
330,0.0,0.03226703756292641,0.008066759390731603,0.08066759390731602,0.0,11110123
331,0.0,0.0007813117413291592,0.011719676119937388,0.006250493930633274,0.0015626234826583184,11110119
332,0.003586065573219355,0.00717213114643871,0.0,0.00717213114643871,0.0,11110142
333,0.0,0.0,0.00019747885331912446,0.0,0.0,11110178
334,0.0,0.0,0.003586065573219355,0.0,0.0,11110145
335,0.03226703756292641,0.05646731573512122,0.0,0.08066759390731602,0.0,11110124
336,3.517782389981356e-05,0.0004397227987476695,0.00031660041509832203,0.0005100784465472966,1.758891194990678e-05,11110175
337,0.0020341741253051262,0.0020341741253051262,0.0,0.0040683482506102524,0.0,11110102
338,0.001505268439613912,0.004515805318841736,0.006021073758455648,0.031610637231892155,0.001505268439613912,11110120
339,0.0,0.003010536879227824,0.004515805318841736,0.004515805318841736,0.003010536879227824,11110121
340,0.0006590509667528671,0.001977152900258601,0.003954305800517202,0.0006590509667528671,0.0,11110186
341,0.0,0.003586065573219355,0.010758196719658065,0.01434426229287742,0.0,11110141
342,0.00028848927784291654,0.0017309356670574994,0.004615828445486665,0.0011539571113716662,0.0,11110166
343,0.0,0.0010607828577490186,0.0005303914288745093,0.0,0.0,11110160
