,B_시군구,B_동,경찰서,공원,백화점,버스,병원,소방서,약국,영화관,지하철,편의점,동리명,법정동 인구밀도
407,중구,삼각동,0,0,0,1,3,0,0,0,0,0,삼각동,161.826087
408,중구,서소문동,1,0,0,3,24,0,0,0,0,7,서소문동,264.0833333
409,중구,소공동,0,0,1,1,8,0,0,1,0,4,소공동,264.0833333
410,중구,수표동,0,0,0,1,2,0,0,0,0,2,수표동,161.826087
411,중구,수하동,0,0,0,0,3,0,0,0,0,3,수하동,161.826087
412,중구,순화동,0,0,0,1,7,0,0,0,0,10,순화동,949.4833333
413,중구,신당동,3,0,0,43,129,2,8,0,5,65,신당동,182106.3333
414,중구,쌍림동,0,0,0,2,6,0,0,0,0,5,쌍림동,867
415,중구,예관동,0,0,0,1,0,0,0,0,0,0,예관동,867
416,중구,예장동,0,1,0,3,0,0,0,0,0,1,예장동,540.916996
417,중구,오장동,0,0,0,0,0,0,0,0,0,4,오장동,867
418,중구,을지로1가,0,0,0,3,6,0,1,0,1,3,을지로1가,161.826087
419,중구,을지로2가,0,0,0,3,19,0,0,0,0,9,을지로2가,161.826087
420,중구,을지로3가,1,0,0,3,5,0,0,0,2,6,을지로3가,327.8
421,중구,을지로4가,0,0,0,4,16,0,0,0,2,1,을지로4가,327.8
422,중구,을지로5가,1,1,0,2,4,0,0,0,0,4,을지로5가,327.8
423,중구,을지로6가,0,0,0,7,17,0,0,2,0,10,을지로6가,867
424,중구,을지로7가,0,0,0,1,0,0,0,0,3,2,을지로7가,867
425,중구,의주로1가,0,0,0,3,2,0,0,0,0,2,의주로1가,264.0833333
426,중구,인현동1가,0,0,0,0,1,0,0,0,0,1,인현동1가,327.8
427,중구,인현동2가,0,0,0,0,1,0,0,0,0,1,인현동2가,867
428,중구,입정동,0,0,0,1,1,0,0,0,0,0,입정동,327.8
429,중구,장교동,0,0,0,0,3,0,0,0,0,3,장교동,161.826087
430,중구,장충동1가,0,0,0,2,3,0,0,0,0,3,장충동1가,1340.333333
431,중구,장충동2가,1,0,0,9,2,0,0,0,1,10,장충동2가,1719.424242
432,중구,저동1가,0,0,0,3,1,0,0,0,0,3,저동1가,161.826087
433,중구,저동2가,1,0,0,0,6,0,1,0,0,5,저동2가,327.8
434,중구,정동,0,0,0,3,1,0,0,0,0,3,정동,264.0833333
435,중구,주교동,0,0,0,2,2,0,0,0,0,2,주교동,327.8
436,중구,중림동,1,0,0,8,18,0,1,0,0,9,중림동,6667.25
437,중구,초동,0,0,0,0,6,0,0,1,0,5,초동,327.8
438,중구,충무로1가,0,0,1,1,17,0,0,0,0,5,충무로1가,847.226087
439,중구,충무로2가,0,0,0,2,21,0,1,1,1,9,충무로2가,161.826087
440,중구,충무로3가,0,0,0,1,6,1,0,0,0,7,충무로3가,379.0909091
441,중구,충무로4가,0,0,0,1,6,0,0,0,0,3,충무로4가,1246.090909
442,중구,충무로5가,0,0,0,1,0,0,0,0,0,5,충무로5가,1246.090909
443,중구,충정로1가,0,0,0,1,2,0,0,0,0,0,충정로1가,264.0833333
444,중구,태평로1가,1,0,0,4,5,0,0,0,0,3,태평로1가,161.826087
445,중구,태평로2가,0,0,0,7,11,0,0,0,2,6,태평로2가,264.0833333
446,중구,필동1가,1,0,0,4,5,0,0,0,0,6,필동1가,379.0909091
447,중구,필동2가,0,0,0,1,4,0,1,1,2,6,필동2가,379.0909091
448,중구,필동3가,0,0,0,0,1,0,0,0,0,6,필동3가,379.0909091
449,중구,황학동,0,0,1,7,22,0,4,0,0,11,황학동,41003
450,중구,회현동1가,1,0,0,4,12,0,0,0,0,9,회현동1가,847.226087
451,중구,회현동2가,0,0,0,3,1,1,0,0,0,2,회현동2가,847.226087
452,중구,회현동3가,0,0,0,0,3,0,0,0,0,1,회현동3가,161.826087
453,중구,흥인동,0,0,0,2,5,0,1,0,2,7,흥인동,5570.333333
454,중랑구,망우동,1,2,1,66,85,1,2,0,3,37,망우동,29190
455,중랑구,면목동,4,2,1,123,196,1,7,0,3,87,면목동,152885
456,중랑구,묵동,2,0,1,51,58,0,2,1,1,33,묵동,59018
457,중랑구,상봉동,0,0,1,31,70,0,2,2,5,37,상봉동,59407
458,중랑구,신내동,1,1,1,69,66,3,2,0,1,22,신내동,38464
459,중랑구,중화동,1,0,0,42,61,1,5,0,3,25,중화동,57690
