,영화관명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
76,아산엠인터내셔널단성사,서울특별시 서초구 양재동,127.0391885,37.4710198,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
77,아트나인,서울특별시 동작구 사당동,126.9817635,37.484694,B,1159010700,서울특별시,동작구,사당동,H,1159062000,서울특별시,동작구,사당1동
78,아트하우스모모-이화?KB시네마,서울특별시 서대문구 대현동,126.9470584,37.5613469,B,1141011200,서울특별시,서대문구,대현동,H,1141058500,서울특별시,서대문구,신촌동
79,에무시네마,서울특별시 종로구 신문로2가,126.9690317,37.57206710000001,B,1111012100,서울특별시,종로구,신문로2가,H,1111053000,서울특별시,종로구,사직동
80,이봄씨어터,서울특별시 강남구 신사동,127.022017,37.5229472,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
81,인사이드시네마,서울특별시 종로구 신문로1가,126.9722692,37.5697079,B,1111012000,서울특별시,종로구,신문로1가,H,1111053000,서울특별시,종로구,사직동
82,주식회사명보아트홀(명보아트시네마),서울특별시 중구 초동,126.9931903,37.5646936,B,1114015900,서울특별시,중구,초동,H,1114060500,서울특별시,중구,을지로동
83,창동메가박스,서울특별시 도봉구 창동,127.0387545,37.6545747,B,1132010700,서울특별시,도봉구,창동,H,1132051500,서울특별시,도봉구,창5동
84,청춘극장,서울특별시 성동구 행당동,127.0312858,37.557686,B,1120010700,서울특별시,성동구,행당동,H,1120057000,서울특별시,성동구,행당2동
85,코엑스컴포트,서울특별시 강남구 삼성동,127.0587905,37.5124447,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
86,필름포럼,서울특별시 서대문구 대신동,126.9441118,37.5637568,B,1141011300,서울특별시,서대문구,대신동,H,1141058500,서울특별시,서대문구,신촌동
87,허리우드클래식,서울특별시 종로구 낙원동,126.9880012,37.57283229999999,B,1111013700,서울특별시,종로구,낙원동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
