,병원분류명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
4691,의원,서울특별시 노원구 동일로 1402 (상계동 기업빌딩),127.0611261,37.65375035,B,1135010500,서울특별시,노원구,상계동,H,1135069500,서울특별시,노원구,상계6.7동
4692,치과의원,서울특별시 성북구 동소문로25길 58 지상2층 (동선동5가),127.0161563,37.59564061,B,1129012000,서울특별시,성북구,동선동5가,H,1129057500,서울특별시,성북구,동선동
4693,한의원,서울특별시 강남구 도곡로 419 4층 (대치동 쇼핑넷빌딩),127.0563169,37.49765366,B,1168010600,서울특별시,강남구,대치동,H,1168063000,서울특별시,강남구,대치4동
4694,의원,서울특별시 강남구 논현로168길 24 (신사동),127.0301908,37.52355809,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
4695,한의원,서울특별시 서초구 서초대로56길 15 디앤비빌딩 4층 (서초동),127.0172545,37.49384321,B,1165010800,서울특별시,서초구,서초동,H,1165051000,서울특별시,서초구,서초1동
4696,의원,서울특별시 구로구 경인로67길 23 (신도림동신도림2차푸르지오상가 101-309호),126.8897068,37.5103053,B,1153010100,서울특별시,구로구,신도림동,H,1153051000,서울특별시,구로구,신도림동
4697,의원,서울특별시 강남구 강남대로 596 극동빌딩 5층 (논현동),127.0203512,37.51502229,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
4698,의원,서울특별시 마포구 마포대로 115-12 상가동 201202204205호 (공덕동 공덕삼성아파트),126.9511517,37.54569124,B,1144010200,서울특별시,마포구,공덕동,H,1144055500,서울특별시,마포구,아현동
4699,의원,서울특별시 강남구 강남대로 492 14층 (논현동),127.0241127,37.50620616,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
4700,의원,서울특별시 강동구 천호대로 1033 강동빌딩 7층 (천호동),127.1257567,37.53767044,B,1174010800,서울특별시,강동구,성내동,H,1174065000,서울특별시,강동구,성내2동
4701,의원,서울특별시 강북구 도봉로 308 5층 (번동),127.0238372,37.63566482,B,1130510200,서울특별시,강북구,번동,H,1130559500,서울특별시,강북구,번1동
