,약국명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
184,강약국,"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",126.9622122,37.5074679,B,1159010500,서울특별시,동작구,흑석동,H,1159060500,서울특별시,동작구,흑석동
185,광주약국,서울특별시 관악구 관악로 268 (봉천동),126.9582904,37.4879331,B,1162010100,서울특별시,관악구,봉천동,H,1162054500,서울특별시,관악구,청림동
186,한림약국,"서울특별시 양천구 중앙로32길 61 102호 (신정동, 현대프라자)",126.860313,37.5200832,B,1147010100,서울특별시,양천구,신정동,H,1147062000,서울특별시,양천구,신정1동
187,영광약국,서울특별시 금천구 시흥대로149길 7 (독산동),126.8973822,37.4758776,B,1154510200,서울특별시,금천구,독산동,H,1154561000,서울특별시,금천구,독산1동
188,현대약국,서울특별시 영등포구 도림로 158 (대림동),126.8993893,37.4941733,B,1156013300,서울특별시,영등포구,대림동,H,1156071000,서울특별시,영등포구,대림2동
189,거평원온누리약국,"서울특별시 강남구 봉은사로 129 지하1층 (논현동, 거평타운)",127.028339,37.5059195,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
190,라임약국,"서울특별시 강서구 강서로13길 3 (화곡동, 동진빌딩)",126.8460657,37.5322971,B,1150010300,서울특별시,강서구,화곡동,H,1150054000,서울특별시,강서구,화곡1동
191,교보약국,서울특별시 관악구 남부순환로 1827 1층 (봉천동),126.9534277,37.4813525,B,1162010100,서울특별시,관악구,봉천동,H,1162057500,서울특별시,관악구,행운동
192,마음약국,서울특별시 노원구 동일로 1417 1층 (상계동),127.0599912,37.6550409,B,1135010500,서울특별시,노원구,상계동,H,1135069500,서울특별시,노원구,상계6.7동
193,한솔약국,서울특별시 광진구 아차산로 621 1층 (광장동),127.107048,37.5483832,B,1121510400,서울특별시,광진구,광장동,H,1121581000,서울특별시,광진구,광장동
194,수빈온누리약국,서울특별시 강동구 풍성로 116 (성내동),127.124989,37.5318969,B,1174010800,서울특별시,강동구,성내동,H,1174064000,서울특별시,강동구,성내1동
195,온누리건강약국,서울특별시 송파구 백제고분로12길 17 (잠실동),127.0807043,37.5046028,B,1171010100,서울특별시,송파구,잠실동,H,1171065000,서울특별시,송파구,잠실본동
196,창현약국,"서울특별시 강남구 선릉로 815 (신사동, 신한양빌딩)",127.0394184,37.524883,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
197,중앙명성약국,서울특별시 동작구 흑석로 106-7 (흑석동),126.9615167,37.5078273,B,1159010500,서울특별시,동작구,흑석동,H,1159060500,서울특별시,동작구,흑석동
198,우일약국,서울특별시 관악구 난곡로24길 5 (신림동),126.9204698,37.4698898,B,1162010200,서울특별시,관악구,신림동,H,1162077500,서울특별시,관악구,난곡동
199,초원약국,서울특별시 영등포구 영중로 31 (영등포동4가),126.9048988,37.5190705,B,1156010500,서울특별시,영등포구,영등포동4가,H,1156053500,서울특별시,영등포구,영등포동
200,정약국,서울특별시 강남구 봉은사로 331 지하1층 일부호 (논현동),127.0429841,37.5102889,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
201,엘림약국,서울특별시 관악구 신림로 322 (신림동),126.9301156,37.4829836,B,1162010200,서울특별시,관악구,신림동,H,1162064500,서울특별시,관악구,서원동
202,종로약국,서울특별시 구로구 고척로 142 (고척동),126.8496644,37.5025706,B,1153010600,서울특별시,구로구,고척동,H,1153073000,서울특별시,구로구,고척2동
203,천명약국,서울특별시 송파구 오금로 95 1층 (방이동),127.1077249,37.5137648,B,1171011100,서울특별시,송파구,방이동,H,1171056200,서울특별시,송파구,방이2동
204,목동건강약국,서울특별시 양천구 목동로27길 6 1층 (신정동),126.8632654,37.5286543,B,1147010100,서울특별시,양천구,신정동,H,1147065000,서울특별시,양천구,신정4동
205,청량리중앙약국,서울특별시 동대문구 왕산로 214 403호 (전농동),127.051139,37.5841971,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
206,중외약국,서울특별시 강남구 학동로4길 35 (논현동),127.0239878,37.5091939,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
207,진솔약국,서울특별시 구로구 경인로 211-1 (오류동),126.8443621,37.4965396,B,1153010800,서울특별시,구로구,오류동,H,1153077000,서울특별시,구로구,오류1동
208,역삼이화약국,서울특별시 강남구 논현로 340 1층 (역삼동),127.0396503,37.495772,B,1168010100,서울특별시,강남구,역삼동,H,1168065000,서울특별시,강남구,역삼2동
209,굿윌압구정약국,서울특별시 강남구 압구정로30길 12 1층 101호 (신사동),127.0290968,37.526711,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
210,온정약국,서울특별시 강남구 논현로 648 1층 일부호 (논현동),127.0322915,37.5115889,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
