,지하철역,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
358,대모산입구,서울특별시 강남구 개포동,127.07272,37.491373,B,1168010300,서울특별시,강남구,개포동,H,1168067000,서울특별시,강남구,개포2동
359,왕십리,서울특별시 성동구 행당동,127.037732,37.561533,B,1120010700,서울특별시,성동구,행당동,H,1120056000,서울특별시,성동구,행당1동
360,수서,서울특별시 강남구 수서동,127.10188,37.487371,B,1168011500,서울특별시,강남구,수서동,H,1168075000,서울특별시,강남구,수서동
361,복정,서울특별시 송파구 장지동,127.126662,37.470047,B,1171010900,서울특별시,송파구,장지동,H,1171064200,서울특별시,송파구,문정2동
362,서울숲,서울특별시 성동구 성수동1가,127.044707,37.543617,B,1120011400,서울특별시,성동구,성수동1가,H,1120065000,서울특별시,성동구,성수1가1동
363,압구정로데오,서울특별시 강남구 신사동,127.040534,37.527381,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
364,강남구청,서울특별시 강남구 논현동,127.04128,37.517186,B,1168010800,서울특별시,강남구,논현동,H,1168053100,서울특별시,강남구,논현2동
365,선정릉,서울특별시 강남구 삼성동,127.043593,37.51098,B,1168010500,서울특별시,강남구,삼성동,H,1168053100,서울특별시,강남구,논현2동
366,청량리,서울특별시 동대문구 전농동,127.046835,37.580178,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
367,양재시민의숲,서울특별시 서초구 양재동,127.03842,37.470023,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
368,강남,서울특별시 서초구 서초동,127.027926,37.497175,B,1165010800,서울특별시,서초구,서초동,H,1165052000,서울특별시,서초구,서초2동
369,양재,서울특별시 서초구 양재동,127.034631,37.484147,B,1165010200,서울특별시,서초구,양재동,H,1165065100,서울특별시,서초구,양재1동
370,청계산입구,서울특별시 서초구 신원동,127.055664,37.447211,B,1165011100,서울특별시,서초구,신원동,H,1165065200,서울특별시,서초구,양재2동
371,북한산우이,서울특별시 강북구 우이동,127.012789,37.663146,B,1130510400,서울특별시,강북구,우이동,H,1130564500,서울특별시,강북구,우이동
372,솔밭공원,서울특별시 강북구 우이동,127.013252,37.656088,B,1130510400,서울특별시,강북구,우이동,H,1130564500,서울특별시,강북구,우이동
373,419민주묘지,서울특별시 강북구 우이동,127.013746,37.649593,B,1130510400,서울특별시,강북구,우이동,H,1130564500,서울특별시,강북구,우이동
