,공원명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
81,용두근린공원,서울 동대문구 용두동 34-12,127.039004317367,37.5732978462867,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
82,상암근린공원,서울 마포구 상암동,126.885457710373,37.5773320272732,B,1144012700,서울특별시,마포구,상암동,H,1144074000,서울특별시,마포구,상암동
83,와우근린공원,서울 마포구 창전동 35-23,126.927474668018,37.550075945981,B,1144011400,서울특별시,마포구,창전동,H,1144065500,서울특별시,마포구,서강동
84,금호근린공원,서울 성동구 금호동3가 1266,127.018979980003,37.5497074622427,B,1120011100,서울특별시,성동구,금호동3가,H,1120061500,서울특별시,성동구,금호2.3가동
85,달맞이근린공원,서울 성동구 금호동4가 27,127.021015115825,37.5431946967624,B,1120011200,서울특별시,성동구,금호동4가,H,1120062000,서울특별시,성동구,금호4가동
86,문정근린공원,서울 송파구 문정동 37-7,127.126985126818,37.4860983834094,B,1171010800,서울특별시,송파구,문정동,H,1171064600,서울특별시,송파구,장지동
87,문화예술공원,서울 서초구 양재동 200,127.030656752773,37.467818092082,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
88,세종로공원,서울 종로구 세종로 80-1,126.975892728114,37.5736766421518,B,1111011900,서울특별시,종로구,세종로,H,1111053000,서울특별시,종로구,사직동
89,샘말공원(관악산),서울 관악구 신림동 산 63-1,126.938463091951,37.4645515935551,B,1162010200,서울특별시,관악구,신림동,H,1162073500,서울특별시,관악구,대학동
90,초안산생태공원,서울 도봉구 창동 산 157,127.045497717718,37.6480379759024,B,1132010700,서울특별시,도봉구,창동,H,1132051100,서울특별시,도봉구,창1동
91,푸른수목원,서울 구로구 항동 81-1,126.82541340864,37.4839833354275,B,1153011200,서울특별시,구로구,항동,H,1153080000,서울특별시,구로구,항동
92,청계산도시자연공원,서울 서초구 원지동 68,127.043404262268,37.4538916592896,B,1165010400,서울특별시,서초구,원지동,H,1165065200,서울특별시,서초구,양재2동
93,아차산생태공원,서울 광진구 광장동 370,127.100800735849,37.5517166336474,B,1121510400,서울특별시,광진구,광장동,H,1121581000,서울특별시,광진구,광장동
94,우면산도시자연공원,서울 서초구 방배동 산 92-3,127.008433267143,37.4713717502903,B,1165010100,서울특별시,서초구,방배동,H,1165062000,서울특별시,서초구,방배3동
95,향림근린공원,서울 은평구 불광동 155,126.924542776181,37.6294875603675,B,1138010300,서울특별시,은평구,불광동,H,1138053000,서울특별시,은평구,불광2동
96,신사근린공원,서울 은평구 신사동 98-5,126.910154899055,37.592342324624,B,1138010900,서울특별시,은평구,신사동,H,1138063200,서울특별시,은평구,신사2동
97,문화역 서울284,서울 중구 봉래동2가 122-28,126.971588794949,37.5558828120624,B,1114012000,서울특별시,중구,봉래동2가,H,1114054000,서울특별시,중구,회현동
98,청담근린공원,서울 강남구 청담동 66,127.052764503364,37.5212868476563,B,1168010400,서울특별시,강남구,청담동,H,1168056500,서울특별시,강남구,청담동
99,허브천문공원,서울 강동구 둔촌동 산 86,127.153348908729,37.537308977014,B,1174010600,서울특별시,강동구,둔촌동,H,1174070000,서울특별시,강동구,둔촌2동
100,연신내물빛공원,서울 은평구 갈현동,126.920711278292,37.6189939564735,B,1138010400,서울특별시,은평구,갈현동,H,1138055100,서울특별시,은평구,갈현1동
101,나들이근린공원,서울 중랑구 망우동 74,127.113494608531,37.6060674646146,B,1126010500,서울특별시,중랑구,망우동,H,1126065500,서울특별시,중랑구,망우본동
102,숭인근린공원,서울 종로구 숭인동 58-70,127.017999786654,37.5771555704332,B,1111017500,서울특별시,종로구,숭인동,H,1111070000,서울특별시,종로구,숭인1동
103,서일대뒷산공원,서울 중랑구 면목동,127.098851984047,37.5876860062616,B,1126010100,서울특별시,중랑구,면목동,H,1126057500,서울특별시,중랑구,면목제3.8동
104,문화비축기지,서울 마포구 성산동 661,126.89423666008835,37.57107560511949,B,1144012500,서울특별시,마포구,성산동,H,1144073000,서울특별시,마포구,성산2동
105,경춘선숲길,서울 노원구 공릉동,127.078706040469,37.620691807133,B,1135010300,서울특별시,노원구,공릉동,H,1135060000,서울특별시,노원구,공릉2동
106,율현공원,서울 강남구 율현동 77-9,127.11548348948982,37.4726797483976,B,1168011300,서울특별시,강남구,율현동,H,1168070000,서울특별시,강남구,세곡동
107,서울로7017,서울 중구 봉래동2가 122-16,126.97029831807974,37.55662131243045,B,1114012000,서울특별시,중구,봉래동2가,H,1114054000,서울특별시,중구,회현동
