,정류소명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
1823,동대문경찰서,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1824,현대코아,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1825,현대코아,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1826,동대문중앙새마을금고,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1827,동대문중앙새마을금고,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1828,제기동주민센터앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1829,제기동한신아파트,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1830,제기시장,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1831,제기시장,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1832,외대역앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1833,외대역앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1834,이경시장,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1835,청량리한신아파트,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1836,전동초등학교.전농동SK아파트,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1837,벽산아파트,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1838,제기동천주교회,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1839,이문동쌍용아파트,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1840,이문동쌍용아파트,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1841,이문1동주민센터,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
