,지구대파출소,청,서,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
30,공항지구대,서울청,서울강서경찰서,강서구 방화2동 620-111,126.8082381,37.562291,B,1150010900,서울특별시,강서구,방화동,H,1150064000,서울특별시,강서구,방화2동
31,까치산지구대,서울청,서울강서경찰서,강서구 화곡1동 901-15,126.8457979,37.5293295,B,1150010300,서울특별시,강서구,화곡동,H,1150054000,서울특별시,강서구,화곡1동
32,등촌2파출소,서울청,서울강서경찰서,강서구 등촌2동 513-6,126.8619084,37.544786,B,1150010200,서울특별시,강서구,등촌동,H,1150053000,서울특별시,강서구,등촌2동
33,발산지구대,서울청,서울강서경찰서,강서구 내발산동 686-6,126.8259875,37.5494417,B,1150010600,서울특별시,강서구,내발산동,H,1150061100,서울특별시,강서구,발산1동
34,방화3파출소,서울청,서울강서경찰서,강서구 방화3동 822-31,126.814714,37.5798622,B,1150010900,서울특별시,강서구,방화동,H,1150064100,서울특별시,강서구,방화3동
35,서울강서경찰서,서울청,서울강서경찰서,강서구 화곡6동 980-27,126.850017,37.5513343,B,1150010300,서울특별시,강서구,화곡동,H,1150059100,서울특별시,강서구,화곡6동
36,염창지구대,서울청,서울강서경찰서,강서구 염창동 272-1,126.867442,37.5518908,B,1150010100,서울특별시,강서구,염창동,H,1150051000,서울특별시,강서구,염창동
37,화곡3파출소,서울청,서울강서경찰서,강서구 화곡3동 1019-1,126.835225,37.5446917,B,1150010300,서울특별시,강서구,화곡동,H,1150056000,서울특별시,강서구,화곡3동
38,화곡지구대,서울청,서울강서경찰서,강서구 화곡6동 980-15,126.8500153,37.551663,B,1150010300,서울특별시,강서구,화곡동,H,1150059100,서울특별시,강서구,화곡6동
39,관악산지구대,서울청,서울관악경찰서,관악구 서림동 808-402,126.9352299,37.473728,B,1162010200,서울특별시,관악구,신림동,H,1162066500,서울특별시,관악구,서림동
40,구암지구대,서울청,서울관악경찰서,관악구 은천로 93,126.9449269,37.4871787,B,1162010100,서울특별시,관악구,봉천동,H,1162060500,서울특별시,관악구,은천동
41,낙성대지구대,서울청,서울관악경찰서,관악구 봉천동 1662-36,126.9594526,37.478252,B,1162010100,서울특별시,관악구,봉천동,H,1162058500,서울특별시,관악구,낙성대동
42,난우파출소,서울청,서울관악경찰서,관악구 난향동 1735-6,126.9192378,37.4611084,B,1162010200,서울특별시,관악구,신림동,H,1162071500,서울특별시,관악구,난향동
43,남현파출소,서울청,서울관악경찰서,관악구 남현동 1086-1,126.9778224,37.4746955,B,1162010300,서울특별시,관악구,남현동,H,1162063000,서울특별시,관악구,남현동
44,당곡지구대,서울청,서울관악경찰서,관악구 은천동 961-16,126.9344064,37.4859702,B,1162010100,서울특별시,관악구,봉천동,H,1162060500,서울특별시,관악구,은천동
